trial,nz,nbatch,cuda,mode,direction,time,qp,canon_time,dcanon_time
0,128,128,True,qpth,forward,0.918572187423706,dense,,
0,128,128,True,qpth,backward,0.12204909324645996,dense,,
0,128,128,True,cvxpylayers,forward,2.2016427516937256,dense,0.9779479503631592,
0,128,128,True,cvxpylayers,backward,0.6282000541687012,dense,,0.2952909469604492
1,128,128,True,qpth,forward,0.19716167449951172,dense,,
1,128,128,True,qpth,backward,0.04627537727355957,dense,,
1,128,128,True,cvxpylayers,forward,1.9138975143432617,dense,0.8191514015197754,
1,128,128,True,cvxpylayers,backward,0.7184383869171143,dense,,0.3381655216217041
2,128,128,True,qpth,forward,0.22994232177734375,dense,,
2,128,128,True,qpth,backward,0.03559112548828125,dense,,
2,128,128,True,cvxpylayers,forward,1.9818580150604248,dense,0.8431582450866699,
2,128,128,True,cvxpylayers,backward,0.6209638118743896,dense,,0.30362582206726074
0,128,128,False,qpth,forward,0.49392223358154297,dense,,
0,128,128,False,qpth,backward,0.018925905227661133,dense,,
0,128,128,False,cvxpylayers,forward,2.0795207023620605,dense,0.8897216320037842,
0,128,128,False,cvxpylayers,backward,0.7183647155761719,dense,,0.3624446392059326
1,128,128,False,qpth,forward,0.5965497493743896,dense,,
1,128,128,False,qpth,backward,0.03541135787963867,dense,,
1,128,128,False,cvxpylayers,forward,2.2013981342315674,dense,0.9261748790740967,
1,128,128,False,cvxpylayers,backward,0.7652332782745361,dense,,0.3378627300262451
2,128,128,False,qpth,forward,0.7255299091339111,dense,,
2,128,128,False,qpth,backward,0.04083538055419922,dense,,
2,128,128,False,cvxpylayers,forward,2.420253276824951,dense,0.9208512306213379,
2,128,128,False,cvxpylayers,backward,0.7251043319702148,dense,,0.39175868034362793
0,2048,32,False,qpth,forward,44.556233644485474,sparse,,
0,2048,32,False,qpth,backward,6.074903726577759,sparse,,
0,2048,32,False,cvxpylayers,forward,53.2127799987793,sparse,0.12009906768798828,
0,2048,32,False,cvxpylayers,backward,2.633903741836548,sparse,,2.2875874042510986
1,2048,32,False,qpth,forward,78.39436626434326,sparse,,
1,2048,32,False,qpth,backward,5.884526014328003,sparse,,
1,2048,32,False,cvxpylayers,forward,53.973726749420166,sparse,0.11725759506225586,
1,2048,32,False,cvxpylayers,backward,2.4336724281311035,sparse,,2.065471887588501
2,2048,32,False,qpth,forward,59.464874505996704,sparse,,
2,2048,32,False,qpth,backward,7.108889102935791,sparse,,
2,2048,32,False,cvxpylayers,forward,54.8420615196228,sparse,0.117156982421875,
2,2048,32,False,cvxpylayers,backward,2.5276248455047607,sparse,,2.0951836109161377
