epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5144697800278664,0.5177271205645341,-0.08190297664931187,-0.08105400261970666,6.455876111984253,0.4829256534576416
1,0.9882209902772536,1.9742410733149602,-0.3947521693144853,-0.49956478293125445,6.043776273727417,0.4562654495239258
2,2.161650075362279,2.199173633868878,-0.5001486362173007,-0.4996426311823038,5.561996936798096,0.4537374973297119
3,2.2400057040728054,2.2343409611628604,-0.4993422942665907,-0.49966759177354664,5.498979568481445,0.4559001922607422
4,2.264803340801826,2.2506761184105506,-0.4996454698535112,-0.4996676490857051,5.448636293411255,0.5657775402069092
5,2.281303149003249,2.2586729526519775,-0.49964786951358503,-0.4996939759988051,5.357703924179077,0.45352697372436523
6,2.299691539544326,2.271619650033804,-0.4994221352613889,-0.49974868847773624,5.271700859069824,0.45363283157348633
7,2.310078446681683,2.2840276681459866,-0.4994574355391356,-0.4996885588535896,5.8244054317474365,0.554574728012085
8,2.3196178720547604,2.2994854083428016,-0.49969200732616276,-0.49966538410920364,5.296771287918091,0.45388078689575195
9,2.3316099597857547,2.3098857952998233,-0.49949339547982585,-0.49969292604006255,5.210037708282471,0.4533529281616211
10,2.341190824141869,2.316707592744094,-0.4997939748259691,-0.4999478734456576,5.253551721572876,0.45375657081604004
11,2.3517244091400733,2.32531685095567,-0.4992453816991586,-0.4997164515348581,5.4235734939575195,0.4656047821044922
12,2.355831260864551,2.3337846535902758,-0.49960737102306807,-0.49979872886951154,5.255640983581543,0.4565298557281494
13,2.3635221215394826,2.3398158366863546,-0.4996218876196788,-0.499843200811973,5.153310298919678,0.4590733051300049
14,2.3704535502653856,2.3472549548515906,-0.500142437334244,-0.4998962374833914,5.159899950027466,0.4534108638763428
15,2.376007405611185,2.3482532501220703,-0.4995099764603835,-0.49976107707390416,5.186996221542358,0.4533824920654297
16,2.386512504174159,2.356380792764517,-0.5001775370194361,-0.4998243290644426,5.263778448104858,0.4586026668548584
17,2.388702786885775,2.3700563174027662,-0.5000229495076033,-0.4997579547075125,5.089725017547607,0.453141450881958
18,2.397825465752528,2.377718980495746,-0.4997909865700282,-0.4998637323196118,5.167146444320679,0.45894622802734375
19,2.411194865520184,2.382336873274583,-0.49965786991211086,-0.4996978457157428,5.219982624053955,0.49837732315063477
